kda,win
4.6,0
2.1,1
3.33333,1
0.25,0
5.5,1
1.4,0
20,1
0.625,0
1,0
7.33333,1
8,1
2.16667,0
0.8,0
9,1
8.33333,1
1.875,0
1.75,0
5.16667,1
2.5,1
4.5,0
1.5,0
6.66667,1
1,1
8,0
3.57143,1
3,0
2,0
4.2,1
2.83333,1
1.14286,0
5,0
2.75,1
1.44444,0
12.5,1
1.69231,1
2.09091,0
4.2,1
3.16667,0
13,1
0.857143,0
2.6,1
1.83333,0
3.66667,0
2.375,1
1.75,0
5.33333,1
3.6,1
0.5,0
0.875,0
17,1
7,1
1.2,0
3.66667,0
1.4,1
2,0
2.42857,1
2.6,0
2,1
2.71429,1
0.8,0
8,1
4.6,0
0.888889,0
11.5,1
1,0
13,1
0.5,0
1.33333,1
3.125,1
1.63636,0
5,1
1.33333,0
5,1
3,0
19,1
1.83333,0
0.7,0
14,1
4.33333,1
0.666667,0
1,0
12,1
1.22222,0
1.75,1
0.333333,0
4.5,1
4.5,1
0.428571,0
2.25,0
5.25,1
2.14286,0
3,1
4,1
1.28571,0
1.72727,1
3.375,0
2.5,0
4.75,1
3.25,1
2.6,0
5,1
1.66667,0
0,0
2,1
6.66667,1
1.14286,0
3.14286,0
4.2,1
5.75,1
1.5,0
1.33333,0
9,1
8,1
3,0
12,1
1,0
2.5,1
1,0
2.6,0
1.4,1
7,1
0.25,0
1.45455,0
3.5,1
9.66667,1
2.16667,0
11,1
0.857143,0
1.21429,0
3.88889,1
6.5,1
1.75,0
1.33333,0
2.71429,1
2.6,0
2.2,1
1.5,0
3.2,1
19,1
0.714286,0
1.4,0
6.66667,1
2.16667,0
10.5,1
3,1
2,0
3.42857,0
1.15385,1
4.33333,1
1.5,0
0.818182,1
2.57143,0
2.83333,1
3.25,0
3,0
6.33333,1
4.4,0
2.66667,1
1,0
1.33333,1
2.75,1
4.16667,0
2.33333,1
2,0
3.5,0
3,1
7.5,1
3.4,0
9,1
1,0
3.57143,1
1.38462,0
2.25,0
3.66667,1
6.33333,0
3.33333,1
23,1
1,0
18,1
1.28571,0
2,0
3.66667,1
1,0
4.5,1
1.71429,1
1.71429,0
3.33333,0
4.5,1
10,1
1,0
3.875,0
6.8,1
6.33333,1
2.8,0
9,1
1,0
2.14286,0
4.8,1
1.14286,0
10.5,1
2,0
1.5,1
7.5,1
1.66667,0
5.5,1
1.81818,0
8,1
0.666667,0
13,1
0.166667,0
3.14286,1
2.5,0
3.66667,1
2.5,0
9,1
1.16667,0
1.33333,0
19,1
13,1
0.25,0
1.90909,0
4.33333,1
1.33333,0
4,1
2,1
2,0
5,0
4.4,1
7.33333,0
11.5,1
6,1
0.5,0
0.666667,0
8.5,1
2,0
3.5,1
11,1
4.5,0
2.85714,1
2.14286,0
1.7,0
2.71429,1
0.916667,0
6.8,1
2.8,0
6,1
13,1
1,0
7.33333,1
0.666667,0
2,0
5,1
1.66667,0
8,1
11,1
0.5,0
4,1
0.9375,0
3.2,0
1.14286,1
10,1
0.75,0
0.857143,0
2.5,1
4.25,1
1.125,0
0.25,0
4,1
3.44444,0
5.6,1
11,1
2,0
4,1
0.4,0
6.33333,0
1.44444,1
1.8,0
4.25,1
2.4,0
8,1
3.8,0
2.6,1
1.33333,0
3.8,1
3.11111,0
2.1,1
3.42857,1
1.33333,0
3.25,0
1.83333,1
10,1
0.8,0
2.42857,1
1,0
6.75,1
0.777778,0
4.6,1
1.375,0
1.6,0
3.4,1
1.71429,0
2.66667,1
1.83333,1
1.44444,0
2.5,1
3.125,0
6.75,1
2,0
3,0
1.42857,1
1.6,0
5,1
2.33333,0
5,1
2.44444,1
1.18182,0
1,0
3.6,1
1.42857,1
5.8,0
5.25,1
3,0
2,0
3.75,1
0.4,0
20,1
0.636364,0
1.83333,1
2.28571,0
3.66667,1
2.42857,1
2,0
2.71429,0
3,1
4,1
2.57143,0
23,1
1.5,0
4,1
8.33333,0
10.5,1
0.888889,0
1.25,0
3.25,1
5,1
1.66667,0
5.33333,1
1.5,0
2.375,1
2,0
1.5,0
6.66667,1
3.57143,0
4.33333,1
0.666667,0
8,1
1.66667,0
2.28571,1
8,1
0.6,0
6,1
2.5,0
7.5,1
2,0
1.5,0
3.5,1
4.66667,1
0.8,0
3.75,1
2.16667,0
1.33333,0
9,1
2.66667,1
3.125,0
0.333333,0
12,1
1.71429,0
4.66667,1
1,0
6,1
4,1
5,0
0.4,1
1.66667,0
1,0
16,1
3.8,0
3.5,1
16,1
0.444444,0
0.636364,0
6.25,1
4.33333,1
1.54545,0
2.375,0
5.6,1
6.5,1
1,0
1.33333,0
28,1
1.5,0
5,1
1.28571,0
3.6,1
17,1
1.14286,0
3.57143,1
3.5,0
11,1
2.57143,0
2,0
11,1
11,1
0.333333,0
7,1
2,0
1.71429,0
4.25,1
1,0
2.25,1
6,1
0,0
1.75,0
5.33333,1
6,0
3,1
3.83333,1
3,0
8,1
0.5,0
6.33333,1
1.33333,0
1.2,0
5.66667,1
4.4,0
3,1
3,1
2.875,0
1.75,0
2.57143,1
2.66667,1
2.42857,0
2,0
2.57143,1
2.44444,0
5.375,1
1.375,0
6.33333,1
6.25,1
2.5,0
0.5,1
5.33333,0
1.9,0
3.25,1
0.333333,0
10,1
2.25,0
6,1
1.875,0
5.2,1
5,1
2,0
6.66667,0
3.16667,1
19,1
1.125,0
3.42857,0
5,1
0.5,0
9,1
3.6,1
1.63636,0
3.16667,0
5,1
2.2,1
6,0
3,0
2.25,1
1.66667,0
19.5,1
0.571429,0
26,1
5.5,1
0.333333,0
8.33333,1
0.75,0
2.5,1
2.5,0
2.85714,1
1.25,0
5.5,1
2,0
0.25,0
6,1
10,1
1.5,0
0.222222,0
4.75,1
4.75,1
2.2,0
2.75,1
0.666667,0
13,1
1,0
2.57143,0
11,1
0.833333,0
4.5,1
7,1
1.57143,0
1.5,0
2.875,1
2.57143,0
2.42857,1
0.6,0
7,1
5.83333,1
3,0
5,1
2.33333,0
10.5,1
1.5,0
1.11111,0
2.28571,1
1.22222,0
7.33333,1
1.75,0
4,1
1.875,0
1.83333,1
1.71429,0
3.75,1
1.6,1
1.875,0
1,0
8.5,1
1.28571,0
3,1
3.27273,1
2.875,0
13,1
0.857143,0
3.75,0
3.5,1
1.83333,0
7,1
3.66667,1
3,0
2,0
6.25,1
3.25,1
2.2,0
12.3333,1
1.27273,0
4.66667,1
1.5,0
2.09091,1
1.58333,0
2.28571,1
1.9,0
2.09091,0
10.6667,1
